edges_lower_G,edges_upper_G,edges_lower_UV,edges_upper_UV,edges_lower_GUV,edges_upper_GUV,underexposed_lower_G,underexposed_upper_G,overexposed_lower_G,overexposed_upper_G,intensity_upper_GUV,intensity_lower_GUV,intensity_group_upper,intensity_group_lower
5.3466796875,5.169677734375,1.116943359375,10.125732421875,6.060791015625,12.200927734375,17.0,46.0,30.0,70.0,0.15440996955422792,0.1617437624463848,0,1
7.427978515625,0.08544921875,2.825927734375,8.270263671875,9.86328125,8.3251953125,15.0,53.0,26.0,107.0,0.14277379653033087,0.26318550857843137,0,2
2.362060546875,0.06103515625,2.28271484375,6.21337890625,4.13818359375,6.243896484375,21.0,27.0,25.0,46.0,0.17001055549172794,0.11743499157475491,0,0
2.178955078125,0.0,0.958251953125,8.917236328125,2.94189453125,8.917236328125,21.0,23.0,34.0,44.0,0.2282947016697304,0.11488539751838237,1,0
6.695556640625,0.06103515625,2.618408203125,6.182861328125,7.89794921875,6.195068359375,21.0,28.0,27.0,53.0,0.18388157264859067,0.12472821403952207,1,1
9.942626953125,7.916259765625,4.266357421875,18.243408203125,12.249755859375,24.30419921875,47.0,35.0,74.0,74.0,0.34742371802236516,0.16751876531862744,2,1
4.87060546875,5.38330078125,0.848388671875,13.75732421875,5.511474609375,17.93212890625,39.0,33.0,91.0,54.0,0.33703673119638483,0.13510790058210786,2,1
1.470947265625,8.770751953125,0.506591796875,16.571044921875,1.904296875,22.607421875,45.0,22.0,111.0,35.0,0.4320946786917892,0.09155680338541666,2,0
5.035400390625,8.477783203125,0.1220703125,12.164306640625,5.157470703125,18.499755859375,24.0,28.0,156.0,61.0,0.43234839345894605,0.13851677389705883,2,1
7.89794921875,0.0,2.25830078125,5.37109375,9.619140625,5.37109375,19.0,25.0,22.0,50.0,0.13965789196537992,0.12422257965686274,0,1
4.79736328125,0.50048828125,1.092529296875,8.8134765625,5.548095703125,9.283447265625,16.0,81.0,27.0,115.0,0.1433590159696691,0.27563632142310046,0,2
4.827880859375,5.615234375,2.386474609375,9.06982421875,6.640625,12.884521484375,17.0,19.0,66.0,37.0,0.29015897863051476,0.09836892520680149,1,0
2.471923828125,1.165771484375,0.0,9.3017578125,2.471923828125,10.07080078125,16.0,31.0,21.0,50.0,0.1008401309742647,0.11849688361672794,0,0
6.195068359375,0.0,1.910400390625,7.000732421875,7.080078125,7.000732421875,19.0,25.0,24.0,44.0,0.15997900869332105,0.10537540211397059,0,0
2.423095703125,0.048828125,0.35400390625,6.5185546875,2.7099609375,6.561279296875,21.0,89.0,29.0,122.0,0.20885428634344366,0.28871172736672795,1,2
1.678466796875,0.103759765625,0.592041015625,9.619140625,2.264404296875,9.661865234375,15.0,43.0,28.0,64.0,0.15588115617340687,0.15126725739123775,0,1
9.344482421875,0.0,2.630615234375,4.693603515625,11.041259765625,4.693603515625,19.0,105.0,25.0,146.0,0.17127458160998774,0.362774777879902,0,2
12.8173828125,0.0,4.364013671875,11.04736328125,16.204833984375,11.04736328125,18.0,165.0,33.0,213.0,0.18391005572150737,0.5388348747702205,1,2
9.295654296875,3.35693359375,1.67236328125,9.60693359375,10.302734375,10.83984375,15.0,42.0,22.0,94.0,0.12483496572457106,0.19696751014859068,0,2
2.57568359375,2.50244140625,0.0,7.666015625,2.57568359375,9.16748046875,16.0,19.0,21.0,39.0,0.10665965360753675,0.0962851131663603,0,0
6.390380859375,0.0,2.197265625,12.12158203125,7.470703125,12.12158203125,17.0,23.0,28.0,44.0,0.1562997855392157,0.11006326114430147,0,0
2.313232421875,0.927734375,0.0,7.183837890625,2.313232421875,7.965087890625,20.0,23.0,34.0,47.0,0.15708594228707107,0.10413028492647058,0,0
3.302001953125,0.0,1.66015625,3.912353515625,4.82177734375,3.912353515625,20.0,31.0,24.0,62.0,0.16321052102481617,0.17040118049172795,0,1
4.150390625,0.616455078125,0.213623046875,10.711669921875,4.30908203125,11.181640625,26.0,46.0,47.0,109.0,0.17873188093596812,0.21985736921721813,1,2
5.120849609375,0.482177734375,1.885986328125,11.077880859375,6.536865234375,11.529541015625,18.0,19.0,30.0,36.0,0.16849712297028185,0.10459044213388481,0,0
3.350830078125,6.298828125,0.738525390625,6.707763671875,3.985595703125,11.749267578125,23.0,39.0,81.0,62.0,0.2152826047411152,0.14775414560355393,1,1
3.466796875,6.09130859375,0.537109375,14.46533203125,3.594970703125,19.525146484375,32.0,75.0,60.0,122.0,0.2538751340379902,0.26389758540134806,1,2
5.340576171875,0.0,0.738525390625,12.249755859375,5.731201171875,12.249755859375,20.0,39.0,27.0,66.0,0.1907189462699142,0.15784959980085783,1,1
3.16162109375,4.96826171875,2.77099609375,9.332275390625,5.340576171875,12.567138671875,18.0,31.0,32.0,46.0,0.18268324908088235,0.14305312212775737,1,1
9.368896484375,0.0,2.8076171875,12.48779296875,11.505126953125,12.48779296875,20.0,124.0,30.0,162.0,0.20773147882199755,0.3776967964920343,1,2
4.766845703125,0.0,2.764892578125,14.154052734375,6.982421875,14.154052734375,17.0,23.0,25.0,47.0,0.15876512714460783,0.13684608609068627,0,1
5.633544921875,0.25634765625,8.746337890625,8.92333984375,12.640380859375,9.136962890625,20.0,17.0,27.0,171.0,0.18818371342677698,0.27871416877297794,1,2
2.16064453125,0.0,0.68359375,12.3779296875,2.63671875,12.3779296875,17.0,19.0,27.0,37.0,0.1603946461397059,0.08727943570006128,0,0
1.715087890625,8.966064453125,1.055908203125,16.888427734375,2.691650390625,22.906494140625,41.0,33.0,94.0,48.0,0.4027578316482843,0.12188397575827208,2,1
