edges_lower_G,edges_upper_G,edges_lower_UV,edges_upper_UV,edges_lower_GUV,edges_upper_GUV,underexposed_lower_G,underexposed_upper_G,overexposed_lower_G,overexposed_upper_G
19.7021484375,4.9560546875,17.449951171875,7.940673828125,29.69970703125,11.02294921875,17.0,162.0,109.0,220.0
19.81201171875,5.0048828125,16.607666015625,7.818603515625,29.18701171875,10.980224609375,17.0,159.0,109.0,216.0
20.257568359375,5.181884765625,15.496826171875,8.09326171875,28.8330078125,11.444091796875,17.0,162.0,111.0,216.0
19.390869140625,4.949951171875,15.142822265625,8.038330078125,28.03955078125,11.16943359375,17.0,162.0,109.0,216.0
19.15283203125,4.974365234375,14.92919921875,8.087158203125,27.44140625,11.2548828125,17.0,162.0,111.0,216.0
18.07861328125,4.901123046875,14.007568359375,8.2275390625,26.08642578125,11.26708984375,17.0,162.0,111.0,216.0
17.840576171875,4.62646484375,14.605712890625,8.160400390625,26.23291015625,11.163330078125,17.0,162.0,111.0,220.0
17.3095703125,4.8828125,14.324951171875,8.04443359375,25.921630859375,11.2548828125,17.0,162.0,111.0,220.0
16.61376953125,5.1513671875,13.909912109375,7.928466796875,25.23193359375,11.346435546875,17.0,165.0,111.0,223.0
16.4306640625,5.145263671875,13.848876953125,7.855224609375,25.140380859375,11.334228515625,17.0,165.0,111.0,223.0
16.912841796875,4.89501953125,14.520263671875,7.861328125,26.251220703125,10.980224609375,17.0,162.0,111.0,223.0
15.75927734375,5.010986328125,14.31884765625,7.928466796875,25.201416015625,11.114501953125,17.0,162.0,111.0,223.0
15.9423828125,4.82177734375,14.00146484375,7.977294921875,25.201416015625,11.090087890625,17.0,162.0,111.0,227.0
15.83251953125,4.833984375,15.338134765625,8.16650390625,25.665283203125,11.24267578125,17.0,162.0,111.0,227.0
16.717529296875,4.864501953125,16.644287109375,8.14208984375,27.655029296875,11.42578125,17.0,162.0,111.0,227.0
16.9921875,4.67529296875,16.12548828125,8.013916015625,27.69775390625,11.14501953125,17.0,162.0,113.0,227.0
18.27392578125,4.998779296875,18.5302734375,7.84912109375,29.98046875,11.175537109375,17.0,162.0,113.0,227.0
18.731689453125,4.87060546875,17.877197265625,8.074951171875,29.69970703125,11.279296875,17.0,165.0,113.0,231.0
19.464111328125,4.99267578125,18.646240234375,7.989501953125,30.84716796875,11.2548828125,17.0,165.0,113.0,231.0
19.07958984375,5.145263671875,18.572998046875,8.14208984375,30.3466796875,11.676025390625,17.0,165.0,113.0,231.0
18.878173828125,4.9560546875,17.49267578125,7.708740234375,29.7607421875,11.1083984375,17.0,168.0,113.0,231.0
18.585205078125,4.974365234375,17.83447265625,7.77587890625,29.5654296875,11.16943359375,17.0,168.0,113.0,231.0
19.23828125,4.888916015625,17.425537109375,7.9345703125,30.09033203125,11.2548828125,17.0,168.0,113.0,231.0
19.4580078125,5.279541015625,18.02978515625,7.6904296875,30.303955078125,11.151123046875,17.0,165.0,113.0,231.0
19.27490234375,5.108642578125,17.15087890625,7.62939453125,29.833984375,10.931396484375,17.0,165.0,113.0,231.0
18.865966796875,5.11474609375,18.24951171875,7.84912109375,29.77294921875,11.163330078125,17.0,165.0,113.0,235.0
18.71337890625,5.31005859375,17.926025390625,7.958984375,29.302978515625,11.334228515625,17.0,165.0,113.0,235.0
17.9443359375,5.18798828125,16.36962890625,7.8857421875,28.03955078125,11.236572265625,17.0,165.0,113.0,235.0
18.017578125,5.2001953125,17.4072265625,7.89794921875,29.022216796875,11.285400390625,17.0,165.0,113.0,235.0
17.437744140625,5.0048828125,17.205810546875,7.940673828125,28.607177734375,11.126708984375,17.0,165.0,115.0,235.0
17.0654296875,5.18798828125,16.400146484375,7.879638671875,27.9296875,11.322021484375,17.0,168.0,115.0,239.0
16.40625,4.77294921875,16.632080078125,7.72705078125,27.593994140625,10.9130859375,17.0,171.0,115.0,239.0
16.595458984375,4.669189453125,16.693115234375,7.958984375,27.886962890625,11.02294921875,17.0,168.0,115.0,239.0
17.10205078125,4.89501953125,17.938232421875,7.452392578125,28.86962890625,10.552978515625,17.0,168.0,113.0,242.0
17.6025390625,4.840087890625,18.170166015625,7.568359375,29.345703125,10.60791015625,18.0,165.0,115.0,242.0
17.29736328125,4.78515625,19.134521484375,7.293701171875,29.718017578125,10.3515625,18.0,165.0,115.0,242.0
